Datum,Ort,NS,NS_flag,LF,LF_flag,pH,pH_flag,NH4,NH4_flag,Na,Na_flag,K,K_flag,Ca,Ca_flag,Mg,Mg_flag,Cl,Cl_flag,NO3,NO3_flag,SO4,SO4_flag,Pb,Pb_flag,Cd,Cd_flag
2014-10-23,NB,30.675909878682845,1.0,18.7,1.0,4.29,1.0,0.327,1.0,0.167,1.0,0.025,1.0,0.214,1.0,0.027,1.0,0.51,1.0,1.46,1.0,1.42,1.0,,7.0,,7.0
2014-10-23,LU,59.5,1.0,39.0,1.0,4.34,1.0,0.177,1.0,0.045,1.0,0.017,1.0,0.031,1.0,0.01,1.0,0.059,1.0,0.415,1.0,0.749,1.0,,7.0,,7.0
2014-10-23,GS,5.3,1.0,38.8,1.0,4.22,1.0,0.831,1.0,0.265,1.0,0.091,1.0,0.159,1.0,0.033,1.0,0.316,1.0,4.279,1.0,2.963,1.0,,7.0,,7.0
2014-10-23,OS,4.5,1.0,13.26,1.0,5.1,1.0,0.602,1.0,0.178,1.0,0.049,1.0,0.191,1.0,0.032,1.0,0.174,1.0,1.164,1.0,1.426,1.0,,7.0,,7.0
2014-10-23,DR,2.6,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-10-23,SO,6.2,1.0,2.78,1.0,6.15,1.0,0.01,1.0,0.023,1.0,0.011,1.0,0.423,1.0,0.032,1.0,0.012,1.0,0.179,1.0,0.192,1.0,7.21235724417172e-05,1.0,0.0226972388421835,1.0
2014-10-23,WW,34.662045060658585,1.0,7.0,1.0,4.82,1.0,0.1105714285714285,1.0,0.1,1.0,0.1,1.0,0.15,1.0,0.1,1.0,1.1,1.0,0.9742857142857144,1.0,0.73,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-23,NH,7.798960138648181,1.0,20.0,1.0,4.51,1.0,1.1442857142857144,1.0,0.26,1.0,0.1,1.0,0.33,1.0,0.1,1.0,0.1,1.0,3.72,1.0,2.0,1.0,0.0005,1.0,3.5e-05,1.0
2014-10-24,LU,2.9,1.0,22.7,1.0,6.73,1.0,1.458,1.0,0.129,1.0,0.08,1.0,0.25,1.0,0.032,1.0,0.134,1.0,3.195,1.0,4.764,1.0,,7.0,,7.0
2014-10-24,WW,25.12998266897748,1.0,9.0,1.0,4.75,1.0,0.2057142857142857,1.0,0.1,1.0,0.28,1.0,0.15,1.0,0.1,1.0,0.34,1.0,1.4614285714285715,1.0,0.87,1.0,0.0005,1.0,3.5e-05,1.0
2014-10-25,NB,4.188330444829578,1.0,10.6,1.0,4.69,1.0,0.376,1.0,0.186,1.0,0.0633,1.0,0.158,1.0,0.037,1.0,0.19,1.0,1.63,1.0,0.88,1.0,,7.0,,7.0
2014-10-25,SO,0.2,1.0,6.31,1.0,6.59,1.0,0.071,1.0,0.415,1.0,0.026,1.0,0.768,1.0,0.085,1.0,0.166,1.0,0.238,1.0,0.316,1.0,0.0003286642402508,1.0,0.0229370876532788,1.0
2014-10-25,WW,9.8209127671866,1.0,4.0,1.0,5.14,1.0,0.0642857142857143,1.0,0.1,1.0,0.3,1.0,0.15,1.0,0.1,1.0,0.1,1.0,0.3055714285714286,1.0,0.47,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-26,WW,9.53206239168111,1.0,4.0,1.0,5.33,1.0,0.0411428571428571,1.0,0.1,1.0,0.3,1.0,0.15,1.0,0.1,1.0,0.0335,1.0,0.2258571428571428,1.0,0.52,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-27,WW,2.859618717504333,1.0,4.0,1.0,5.5,1.0,0.0488571428571428,1.0,0.22,1.0,0.45,1.0,0.15,1.0,0.1,1.0,0.47,1.0,0.3277142857142857,1.0,0.6,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-28,NH,16.464471403812826,1.0,11.0,1.0,4.89,1.0,0.8485714285714286,1.0,0.0335,1.0,0.0335,1.0,0.15,1.0,0.1,1.0,0.57,1.0,2.524285714285714,1.0,0.68,1.0,0.000175,1.0,3.5e-05,1.0
2014-10-29,HF,0.7510109763142693,1.0,,7.0,,7.0,0.315,1.0,0.0049,1.0,0.025,1.0,0.007,1.0,0.0011,1.0,0.65,1.0,0.59,1.0,0.74,1.0,,7.0,,7.0
2014-11-01,IV,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-11-04,DR,0.6,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-11-04,HG,0.8,1.0,57.8,1.0,6.71,1.0,2.573,1.0,3.17,1.0,0.643,1.0,2.582,1.0,0.36,1.0,5.64,1.0,5.382,1.0,5.841,1.0,,7.0,,7.0
2014-11-04,NH,0.635470826112074,1.0,,7.0,,7.0,3.0857142857142854,1.0,0.41,1.0,0.1,1.0,0.15,1.0,0.1,1.0,0.32,1.0,12.842857142857142,1.0,3.1,1.0,0.0005,1.0,3.5e-05,1.0
2014-11-04,AF,2.9,1.0,22.4,1.0,6.84,1.0,2.661,1.0,0.195,1.0,0.16,1.0,0.171,1.0,0.118,1.0,0.389,1.0,1.269,1.0,0.911,1.0,,7.0,,7.0
2014-11-04,IV,12.420566146735991,1.0,2.3,1.0,5.34,1.0,0.096,1.0,0.025,1.0,0.025,1.0,0.025,1.0,0.005,1.0,0.05,1.0,0.15,1.0,0.14,1.0,,7.0,,7.0
2014-11-05,SO,31.1,1.0,2.42,1.0,6.01,1.0,0.044,1.0,0.086,1.0,0.06,1.0,0.17,1.0,0.016,1.0,0.109,1.0,0.139,1.0,0.105,1.0,0.0001412510675047,1.0,0.0171267758128342,1.0
2014-11-05,AF,10.1,1.0,12.13,1.0,6.7,1.0,1.269,1.0,0.173,1.0,0.046,1.0,0.132,1.0,0.034,1.0,0.305,1.0,0.722,1.0,0.637,1.0,,7.0,,7.0
2014-11-05,HF,11.120739456961294,1.0,4.7,1.0,4.9,1.0,0.315,1.0,,7.0,,7.0,,7.0,,7.0,0.1,1.0,1.04,1.0,0.12,1.0,,7.0,,7.0
2014-11-05,IV,36.10629693818602,1.0,2.4,1.0,5.41,1.0,0.082,1.0,0.025,1.0,0.025,1.0,0.053,1.0,0.005,1.0,0.05,1.0,0.05,1.0,0.05,1.0,,7.0,,7.0
2014-11-05,GS,0.6,1.0,35.8,1.0,6.69,1.0,1.948,1.0,2.671,1.0,1.474,1.0,0.964,1.0,0.273,1.0,1.474,1.0,2.406,1.0,4.829,1.0,,7.0,,7.0
2014-11-05,HG,14.4,1.0,19.2,1.0,6.7,1.0,0.218,1.0,0.435,1.0,0.132,1.0,1.137,1.0,1.033,1.0,1.753,1.0,0.955,1.0,0.561,1.0,,7.0,,7.0
2014-11-05,WW,1.906412478336222,1.0,36.0,1.0,6.63,1.0,1.0799999999999998,1.0,0.66,1.0,4.4,1.0,1.0,1.0,0.48,1.0,1.3,1.0,7.085714285714286,1.0,1.4,1.0,0.0005,1.0,3.5e-05,1.0
2014-11-06,SO,24.4,1.0,1.59,1.0,5.79,1.0,0.016,1.0,0.03,1.0,0.01,1.0,0.096,1.0,0.01,1.0,0.014,1.0,0.072,1.0,0.071,1.0,4.53170452792954e-05,1.0,0.0090162574310394,1.0
2014-11-06,GS,1.2,1.0,10.92,1.0,5.95,1.0,0.249,1.0,0.756,1.0,0.297,1.0,0.405,1.0,0.091,1.0,0.683,1.0,0.94,1.0,1.014,1.0,,7.0,,7.0
2014-11-06,AF,2.2,1.0,23.5,1.0,7.08,1.0,2.797,1.0,0.423,1.0,0.097,1.0,0.241,1.0,0.081,1.0,0.677,1.0,0.977,1.0,0.706,1.0,,7.0,,7.0
2014-11-06,IV,40.43905257076835,1.0,3.5,1.0,5.58,1.0,0.224,1.0,0.071,1.0,0.025,1.0,0.069,1.0,0.012,1.0,0.1,1.0,0.27,1.0,0.26,1.0,,7.0,,7.0
2014-11-06,HG,4.8,1.0,39.6,1.0,6.86,1.0,0.219,1.0,0.866,1.0,0.384,1.0,2.713,1.0,1.778,1.0,4.877,1.0,2.679,1.0,0.896,1.0,,7.0,,7.0
2014-11-06,MB,12.9,1.0,7.42,1.0,5.6,1.0,0.206,1.0,0.188,1.0,0.091,1.0,0.394,1.0,0.072,1.0,0.313,1.0,0.689,1.0,0.833,1.0,,7.0,,7.0
2014-11-06,HF,1.4442518775274409,1.0,,7.0,,7.0,0.234,1.0,0.192,1.0,0.318,1.0,0.212,1.0,0.029,1.0,0.32,1.0,0.77,1.0,0.29,1.0,,7.0,,7.0
2014-11-06,DR,8.4,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-11-07,HG,17.1,1.0,23.8,1.0,6.47,1.0,0.042,1.0,0.445,1.0,0.119,1.0,1.513,1.0,1.078,1.0,3.725,1.0,1.367,1.0,0.613,1.0,,7.0,,7.0
